Player Name,Team Name,Total runs,Year,Matches Played,Innings,Not Outs,Highest Score,Average,Balls Faced,Strike Rate,0,50,100,4s,6s
Shubman Gill,GT,890,2023,17,17,2,129,59.33,564,157.8,1,4,3,85,33
F du Plessis,RCB,730,2023,14,14,1,84,56.15,475,153.68,0,8,0,60,36
DP Conway,CSK,672,2023,16,15,2,92*,51.69,481,139.7,1,6,0,77,18
V Kohli,RCB,639,2023,14,14,2,101*,53.25,457,139.82,1,6,2,65,16
YBK Jaiswal,RR,625,2023,14,14,1,124,48.07,382,163.61,1,5,1,82,26
SA Yadav,MI,605,2023,16,16,2,103*,43.21,334,181.13,1,5,1,65,28
RD Gaikwad,CSK,590,2023,16,15,1,92,42.14,400,147.5,0,4,0,46,30
DA Warner,DC,516,2023,14,14,0,86,36.85,392,131.63,2,6,0,69,10
RK Singh,KKR,474,2023,14,14,6,67*,59.25,317,149.52,0,4,0,31,29
Ishan Kishan,MI,454,2023,16,15,0,75,30.26,318,142.76,0,3,0,54,18
C Green,MI,452,2023,16,16,7,100*,50.22,282,160.28,0,2,1,40,22
H Klaasen,SRH,448,2023,12,11,2,104,49.77,253,177.07,0,2,1,32,25
S Dube,CSK,418,2023,16,14,3,52,38.0,264,158.33,0,3,0,12,35
N Rana,KKR,413,2023,14,14,1,75,31.76,293,140.95,0,3,0,39,20
MP Stoinis,LSG,408,2023,15,15,2,89*,31.38,272,150.0,2,3,0,28,27
VR Iyer,KKR,404,2023,14,14,0,104,28.85,277,145.84,1,2,1,32,21
GJ Maxwell,RCB,400,2023,14,14,2,77,33.33,218,183.48,2,5,0,29,31
JC Buttler,RR,392,2023,14,14,0,95,28.0,282,139.0,5,4,0,42,14
KR Mayers,LSG,379,2023,13,13,0,73,29.15,263,144.1,2,4,0,38,22
S Dhawan,PBKS,373,2023,11,11,2,99*,41.44,261,142.91,1,3,0,49,12
WP Saha,GT,371,2023,17,17,1,81,23.18,287,129.26,2,2,0,47,8
B Sai Sudharsan,GT,362,2023,8,8,1,96,51.71,256,141.4,0,3,0,33,12
SV Samson,RR,362,2023,14,14,2,66*,30.16,236,153.38,2,3,0,25,24
Prabhsimran Singh,PBKS,358,2023,14,14,0,103,25.57,238,150.42,2,1,1,38,19
N Pooran,LSG,358,2023,15,15,3,62,29.83,207,172.94,2,2,0,26,26
HH Pandya,GT,346,2023,16,15,4,66,31.45,253,136.75,0,2,0,26,15
NT Tilak Varma,MI,343,2023,11,11,3,84*,42.87,209,164.11,0,1,0,26,23
RG Sharma,MI,332,2023,16,16,0,65,20.75,250,132.8,2,2,0,35,17
AM Rahane,CSK,326,2023,14,11,1,71*,32.6,189,172.48,0,2,0,24,16
JM Sharma,PBKS,309,2023,14,14,1,49*,23.76,198,156.06,1,0,0,22,21
V Shankar,GT,301,2023,14,10,2,63*,37.62,188,160.1,0,3,0,27,15
SO Hetmyer,RR,299,2023,14,13,5,56*,37.37,197,151.77,0,1,0,12,23
JJ Roy,KKR,285,2023,8,8,0,61,35.62,188,151.59,0,2,0,36,12
AR Patel,DC,283,2023,14,13,3,54,28.3,203,139.4,0,1,0,21,15
LS Livingstone,PBKS,279,2023,9,9,1,94,34.87,171,163.15,0,2,0,20,19
SM Curran,PBKS,276,2023,14,13,3,55,27.6,203,135.96,0,1,0,20,13
KL Rahul,LSG,274,2023,9,9,1,74,34.25,242,113.22,0,2,0,28,4
RA Tripathi,SRH,273,2023,13,13,1,74*,22.75,213,128.16,1,1,0,29,10
MA Agarwal,SRH,270,2023,10,10,0,83,27.0,210,128.57,0,1,0,29,6
D Padikkal,RR,261,2023,11,11,1,52,26.1,200,130.5,0,2,0,31,6
DA Miller,GT,259,2023,16,13,5,46,32.37,178,145.5,1,0,0,18,13
AK Markram,SRH,248,2023,13,13,2,50,22.54,197,125.88,1,1,0,18,8
N Wadhera,MI,241,2023,14,10,1,64,26.77,166,145.18,1,2,0,23,12
A Badoni,LSG,238,2023,15,12,2,59*,23.8,172,138.37,0,1,0,13,12
TH David,MI,231,2023,16,15,6,45*,25.66,146,158.21,2,0,0,12,15
Rahmanullah Gurbaz,KKR,227,2023,11,11,0,81,20.63,170,133.52,2,2,0,17,15
AD Russell,KKR,227,2023,14,14,3,42,20.63,156,145.51,1,0,0,13,18
Abhishek Sharma,SRH,226,2023,11,11,0,67,20.54,157,143.94,1,2,0,28,6
PD Salt,DC,218,2023,9,9,1,87,27.25,133,163.9,2,2,0,24,10
RR Rossouw,DC,209,2023,9,9,2,82*,29.85,141,148.22,2,1,0,17,11
HC Brook,SRH,190,2023,11,11,2,100*,21.11,154,123.37,3,0,1,23,4
RA Jadeja,CSK,190,2023,16,12,4,25*,23.75,133,142.85,0,0,0,11,9
KH Pandya,LSG,188,2023,15,14,4,49*,18.8,165,113.93,3,0,0,15,6
A Taide,PBKS,186,2023,7,7,0,66,26.57,129,144.18,1,2,0,20,6
Abdul Samad,SRH,169,2023,9,8,4,37*,42.25,128,132.03,0,0,0,10,11
MK Pandey,DC,160,2023,10,9,0,50,17.77,146,109.58,2,1,0,15,3
AT Rayudu,CSK,158,2023,16,12,2,27*,15.8,113,139.82,1,0,0,10,9
M Shahrukh Khan,PBKS,156,2023,14,13,6,41*,22.28,94,165.95,0,0,0,13,9
DC Jurel,RR,152,2023,13,11,4,34*,21.71,88,172.72,1,0,0,11,9
Q de Kock,LSG,143,2023,4,4,0,70,35.75,102,140.19,0,1,0,10,8
KD Karthik,RCB,140,2023,13,13,1,30,11.66,104,134.61,4,0,0,13,5
Sikandar Raza,PBKS,139,2023,7,7,2,57,27.8,98,141.83,0,1,0,10,6
MK Lomror,RCB,135,2023,12,10,2,54*,16.87,97,139.17,1,1,0,9,8
Rashid Khan,GT,130,2023,17,9,5,79*,32.5,60,216.66,2,1,0,8,13
MR Marsh,DC,128,2023,9,9,0,63,14.22,97,131.95,2,1,0,11,7
MM Ali,CSK,124,2023,15,10,3,23,17.71,91,136.26,0,0,0,12,6
MW Short,PBKS,117,2023,6,6,0,36,19.5,92,127.17,0,0,0,15,4
A Manohar,GT,114,2023,9,6,0,42,19.0,83,137.34,0,0,0,6,7
SN Thakur,KKR,113,2023,11,10,2,68,14.12,70,161.42,2,1,0,13,4
Aman Hakim Khan,DC,110,2023,11,9,1,51,13.75,101,108.91,1,1,0,7,6
PP Shaw,DC,106,2023,8,8,0,54,13.25,85,124.7,2,1,0,16,1
Anmolpreet Singh,SRH,105,2023,4,4,0,36,26.25,82,128.04,0,0,0,15,2
MS Dhoni,CSK,104,2023,16,12,8,32*,26.0,57,182.45,1,0,0,3,10
PN Mankad,LSG,93,2023,5,5,2,64*,31.0,72,129.16,1,1,0,12,2
Anuj Rawat,RCB,91,2023,9,7,4,29*,30.33,71,128.16,0,0,0,6,4
N Jagadeesan,KKR,89,2023,6,6,0,36,14.83,81,109.87,1,0,0,14,1
R Tewatia,GT,87,2023,17,10,6,20*,21.75,57,152.63,0,0,0,3,7
DJ Hooda,LSG,84,2023,12,12,1,17,7.63,90,93.33,0,0,0,3,2
R Parag,RR,78,2023,7,7,1,20,13.0,66,118.18,0,0,0,4,5
Harpreet Singh,PBKS,76,2023,3,3,0,41,25.33,59,128.81,0,0,0,8,3
PBB Rajapaksa,PBKS,71,2023,4,4,1,50,23.66,62,114.51,1,1,0,6,2
Vivrant Sharma,SRH,69,2023,3,1,0,69,69.0,47,146.8,0,1,0,9,2
R Ashwin,RR,67,2023,13,10,4,30,11.16,51,131.37,2,0,0,5,3
Lalit Yadav,DC,66,2023,6,6,1,38,13.2,59,111.86,0,0,0,8,0
K Gowtham,LSG,61,2023,7,7,3,23,15.25,37,164.86,0,0,0,2,5
Washington Sundar,SRH,60,2023,7,5,1,24*,15.0,60,100.0,0,0,0,6,0
MG Bracewell,RCB,58,2023,5,4,2,26,29.0,47,123.4,0,0,0,6,1
SN Khan,DC,53,2023,4,4,0,30,13.25,62,85.48,0,0,0,4,1
Harpreet Brar,PBKS,52,2023,13,8,2,17*,8.66,41,126.82,1,0,0,5,2
RV Patel,DC,49,2023,5,4,1,23,16.33,43,113.95,0,0,0,3,1
B Kumar,SRH,42,2023,14,6,3,27,14.0,47,89.36,0,0,0,4,0
Shahbaz Ahmed,RCB,42,2023,10,6,2,20*,10.5,39,107.69,0,0,0,3,1
GD Phillips,SRH,39,2023,5,5,0,25,7.8,22,177.27,1,0,0,2,4
M Jansen,SRH,39,2023,8,6,3,17*,13.0,43,90.69,0,0,0,4,0
Vishnu Vinod,MI,37,2023,3,3,0,30,12.33,31,119.35,0,0,0,2,2
A Nortje,DC,37,2023,10,7,4,23*,12.33,29,127.58,1,0,0,6,0
DJ Willey,RCB,35,2023,4,3,3,20*,0.0,32,109.37,0,0,0,4,0
SS Prabhudessai,RCB,35,2023,5,4,0,19,8.75,29,120.68,1,0,0,1,2
Abishek Porel,DC,33,2023,4,4,0,20,8.25,31,106.45,0,0,0,1,2
PW Hasaranga,RCB,33,2023,8,5,3,12*,16.5,28,117.85,0,0,0,3,0
Kuldeep Yadav,DC,31,2023,14,10,8,10*,15.5,48,64.58,2,0,0,2,0
MD Shanaka,GT,26,2023,3,3,1,17,13.0,26,100.0,1,0,0,2,1
T Stubbs,MI,25,2023,2,2,0,20,12.5,31,80.64,0,0,0,2,0
PP Chawla,MI,25,2023,16,4,2,18,12.5,22,113.63,1,0,0,1,1
HR Shokeen,MI,23,2023,8,3,2,18*,23.0,17,135.29,0,0,0,4,0
AS Roy,KKR,23,2023,4,4,2,13*,11.5,19,121.05,1,0,0,3,0
AU Rashid,SRH,22,2023,2,2,0,18,11.0,16,137.5,0,0,0,2,1
PK Garg,DC,22,2023,2,2,0,12,11.0,23,95.65,0,0,0,1,0
D Wiese,KKR,21,2023,3,3,2,12*,21.0,11,190.9,0,0,0,0,3
M Markande,SRH,21,2023,10,3,3,18*,0.0,13,161.53,0,0,0,2,1
SP Narine,KKR,21,2023,14,10,3,7*,3.0,25,84.0,3,0,0,2,1
R Dhawan,PBKS,20,2023,6,3,1,19,10.0,12,166.66,0,0,0,1,1
Ravi Bishnoi,LSG,20,2023,15,7,4,5,6.66,27,74.07,0,0,0,1,0
A Mishra,LSG,19,2023,7,1,0,19,19.0,30,63.33,0,0,0,2,0
Umran Malik,SRH,19,2023,8,2,1,19*,19.0,8,237.5,1,0,0,1,2
UT Yadav,KKR,19,2023,8,5,3,6*,9.5,18,105.55,0,0,0,1,0
Arshad Khan,MI,18,2023,6,3,1,15*,9.0,15,120.0,0,0,0,0,1
Akash Deep,RCB,17,2023,2,1,0,17,17.0,8,212.5,0,0,0,2,1
AJ Hosein,SRH,16,2023,1,1,1,16*,0.0,10,160.0,0,0,0,1,1
P Dubey,DC,16,2023,1,1,0,16,16.0,20,80.0,0,0,0,2,0
Naveen-ul-Haq,LSG,16,2023,8,3,2,13,16.0,21,76.19,0,0,0,2,0
YV Dhull,DC,16,2023,4,3,0,13,5.33,23,69.56,0,0,0,1,0
TA Boult,RR,16,2023,10,4,3,15,16.0,14,114.28,0,0,0,1,1
BA Stokes,CSK,15,2023,2,2,0,8,7.5,14,107.14,0,0,0,2,0
Mandeep Singh,KKR,14,2023,3,3,0,12,4.66,16,87.5,1,0,0,0,1
AS Tendulkar,MI,13,2023,4,1,0,13,13.0,9,144.44,0,0,0,0,1
V Vyshak,RCB,13,2023,7,2,1,13*,13.0,9,144.44,1,0,0,0,1
KM Jadhav,RCB,12,2023,2,1,1,12*,0.0,10,120.0,0,0,0,1,0
KS Sharma,LSG,12,2023,2,2,0,9,6.0,21,57.14,0,0,0,0,0
JO Holder,RR,12,2023,8,3,1,11,6.0,11,109.09,1,0,0,0,1
MA Wood,LSG,11,2023,4,2,1,10*,11.0,5,220.0,0,0,0,1,1
Sanvir Singh,SRH,11,2023,2,2,1,7,11.0,9,122.22,0,0,0,1,1
JE Root,RR,10,2023,3,1,0,10,10.0,15,66.66,0,0,0,1,0
M Vohra,LSG,10,2023,1,1,0,10,10.0,11,90.9,0,0,0,1,0
A Zampa,RR,10,2023,6,3,0,7,3.33,16,62.5,0,0,0,0,0
JD Unadkat,LSG,9,2023,3,1,0,9,9.0,7,128.57,0,0,0,1,0
Noor Ahmad,GT,8,2023,13,3,1,7*,4.0,9,88.88,1,0,0,1,0
AS Joseph,GT,7,2023,7,2,2,7*,0.0,12,58.33,0,0,0,1,0
R Powell,DC,7,2023,3,3,0,4,2.33,9,77.77,0,0,0,1,0
Mukesh Kumar,DC,7,2023,10,3,3,6*,0.0,9,77.77,0,0,0,0,0
K Kartikeya,MI,6,2023,8,1,0,6,6.0,7,85.71,0,0,0,1,0
JP Behrendorff,MI,6,2023,12,2,2,3*,0.0,9,66.66,0,0,0,0,0
CJ Jordan,MI,6,2023,6,2,0,4,3.0,12,50.0,0,0,0,0,0
HV Patel,RCB,6,2023,14,2,0,6,3.0,6,100.0,1,0,0,0,1
Mohammed Shami,GT,5,2023,17,2,0,5,2.5,6,83.33,1,0,0,1,0
Litton Das,KKR,4,2023,1,1,0,4,4.0,4,100.0,0,0,0,1,0
JC Archer,MI,4,2023,5,2,2,3*,0.0,4,100.0,0,0,0,0,0
C Sakariya,DC,4,2023,2,2,1,4,4.0,6,66.66,0,0,0,1,0
KV Sharma,RCB,3,2023,7,2,0,2,1.5,5,60.0,0,0,0,0,0
VG Arora,KKR,3,2023,5,2,2,2*,0.0,2,150.0,0,0,0,0,0
